word,phonetic,partOfSpeech,definition,enCollocation,zhCollocation
abolish,/əˈbɒlɪʃ/,v.,废除,abolish slavery,废除奴隶制
ambiguous,/æmˈbɪɡjuəs/,a.,模棱两可,ambiguous statement,含糊的声明
benevolent,/bəˈnevələnt/,a.,仁慈慈善,benevolent ruler,仁慈的统治者
catastrophe,/kəˈtæstrəfi/,n.,灾难,natural catastrophe,自然灾害
deteriorate,/dɪˈtɪəriəreɪt/,v.,恶化,health deteriorates,健康恶化
elaborate,/ɪˈlæbərət/,a.,精心构思,elaborate plan,周密计划
fluctuate,/ˈflʌktʃueɪt/,v.,波动,prices fluctuate,价格波动
genuine,/ˈdʒenjuɪn/,a.,真正真诚,genuine concern,真诚的关心
hierarchy,/ˈhaɪərɑːki/,n.,等级层次,social hierarchy,社会等级
inevitable,/ɪnˈevɪtəbl/,a.,不可避免的,inevitable consequence,必然结果
jeopardize,/ˈdʒepədaɪz/,v.,危及损害,jeopardize safety,危及安全
legitimate,/lɪˈdʒɪtɪmət/,a.,合法正当,legitimate business,合法生意
meticulous,/məˈtɪkjələs/,a.,一丝不苟,meticulous planning,周密规划
negligible,/ˈneɡlɪdʒəbl/,a.,可忽略不计,negligible effect,微不足道
obsolete,/ˈɒbsəliːt/,a.,过时废弃,obsolete technology,过时的技术
paradigm,/ˈpærədaɪm/,n.,典范范式,paradigm shift,范式转变
quantify,/ˈkwɒntɪfaɪ/,v.,量化,quantify the impact,量化影响
rigorous,/ˈrɪɡərəs/,a.,严格严密,rigorous analysis,严密分析
spontaneous,/spɒnˈteɪniəs/,a.,自发自然,spontaneous reaction,自发反应
trivial,/ˈtrɪviəl/,a.,琐碎不重要,trivial matter,琐事
ubiquitous,/juːˈbɪkwɪtəs/,a.,无处不在,ubiquitous presence,无处不在
vulnerable,/ˈvʌlnərəbl/,a.,易受伤脆弱,vulnerable groups,弱势群体
withstand,/wɪðˈstænd/,v.,抵挡承受,withstand pressure,承受压力
yield,/jiːld/,v.,产出/屈服,yield results,产生结果
zealous,/ˈzeləs/,a.,热心狂热,zealous supporter,狂热支持者
